web_scraper_order,web_scraper_start_url,price,name,location,image
"1765197157-54","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Prix sur demande","Perruches","Dakar, Sénégal","https://images.coinafrique.com/thumb_1389654_uploaded_image1_1577304861.89.png"
"1765197157-55","https://sn.coinafrique.com/categorie/autres-animaux?page=6","12 000CFA","Cailles","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://images.coinafrique.com/thumb_1376905_uploaded_image1_1577034747.91.png"
"1765197157-56","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Prix sur demande","Oies","Fass, Dakar, Sénégal","https://images.coinafrique.com/thumb_1322739_uploaded_image1_1576006817.07.png"
"1765197157-57","https://sn.coinafrique.com/categorie/autres-animaux?page=6","60 000CFA","Oies","Fass, Dakar, Sénégal","https://images.coinafrique.com/thumb_1311792_uploaded_image1_1575817543.97.png"
"1765197157-58","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Prix sur demande","Paon bleu","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_1310387_uploaded_image1_1575790267.47.png"
"1765197157-59","https://sn.coinafrique.com/categorie/autres-animaux?page=6","350 000CFA","Bœufs","Sénégal","https://images.coinafrique.com/thumb_1198114_uploaded_image1_1573729988.56.png"
"1765197157-60","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Prix sur demande","Boeuf","Dakar, Sénégal","https://images.coinafrique.com/thumb_1129419_uploaded_image1_1572391697.86.png"
"1765197157-61","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Prix sur demande","Mouton ladoum pure sang","Sénégal","https://images.coinafrique.com/thumb_1011139_uploaded_image1_1569950027.26.png"
"1765197157-62","https://sn.coinafrique.com/categorie/autres-animaux?page=6","50 000CFA","Oies  bourbonaises","Thies, Sénégal","https://images.coinafrique.com/thumb_990474_uploaded_image1_1569491306.15.png"
"1765197157-63","https://sn.coinafrique.com/categorie/autres-animaux?page=6","1 000CFA","Caille","Grand Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_931708_uploaded_image1_1568194736.45.png"
"1765197157-64","https://sn.coinafrique.com/categorie/autres-animaux?page=6","200 000CFA","Verrat de race Large white","Sénégal","https://images.coinafrique.com/thumb_929881_uploaded_image1_1568141260.81.png"
"1765197157-65","https://sn.coinafrique.com/categorie/autres-animaux?page=6","200 000CFA","Chèvre Balami","Saint Louis, Sénégal","https://images.coinafrique.com/thumb_917895_uploaded_image1_1567801722.96.png"
